premise,hypothesis,prediction,pred_label,gold_label
Both mushrooms that haven't charred might have blackened.,Both mushrooms that haven't charred have blackened.,"{'entailment': 9.4, 'neutral': 71.9, 'contradiction': 18.6}",contradiction,neutral
"If both mushrooms that haven't charred have blackened, it's okay.",Both mushrooms that haven't charred have blackened.,"{'entailment': 70.0, 'neutral': 28.6, 'contradiction': 1.4}",entailment,neutral
Both governments that weren't failing to benefit are persuading Beth to sell some doors.,There are exactly two governments that weren't failing to benefit,"{'entailment': 32.0, 'neutral': 67.6, 'contradiction': 0.4}",neutral,entailment
Both governments that weren't failing to benefit are persuading Beth to sell some doors.,There aren't exactly two governments that weren't failing to benefit,"{'entailment': 0.4, 'neutral': 1.1, 'contradiction': 98.5}",contradiction,contradiction
Both governments that weren't failing to benefit are persuading Beth to sell some doors.,There are exactly two pedestrians that weren't failing to benefit,"{'entailment': 0.4, 'neutral': 2.5, 'contradiction': 97.2}",contradiction,neutral
Both governments that weren't failing to benefit aren't persuading Beth to sell some doors.,There are exactly two governments that weren't failing to benefit,"{'entailment': 25.3, 'neutral': 74.2, 'contradiction': 0.5}",neutral,entailment
Both governments that weren't failing to benefit aren't persuading Beth to sell some doors.,There aren't exactly two governments that weren't failing to benefit,"{'entailment': 1.2, 'neutral': 2.3, 'contradiction': 96.5}",contradiction,contradiction
Both governments that weren't failing to benefit aren't persuading Beth to sell some doors.,There are exactly two pedestrians that weren't failing to benefit,"{'entailment': 0.4, 'neutral': 2.5, 'contradiction': 97.1}",contradiction,neutral
Are both governments that weren't failing to benefit persuading Beth to sell some doors?,There are exactly two governments that weren't failing to benefit,"{'entailment': 1.5, 'neutral': 96.7, 'contradiction': 1.8}",contradiction,entailment
Are both governments that weren't failing to benefit persuading Beth to sell some doors?,There aren't exactly two governments that weren't failing to benefit,"{'entailment': 21.6, 'neutral': 64.2, 'contradiction': 14.2}",neutral,contradiction
Are both governments that weren't failing to benefit persuading Beth to sell some doors?,There are exactly two pedestrians that weren't failing to benefit,"{'entailment': 0.2, 'neutral': 2.0, 'contradiction': 97.8}",contradiction,neutral
Both governments that weren't failing to benefit might be persuading Beth to sell some doors.,There are exactly two governments that weren't failing to benefit,"{'entailment': 21.0, 'neutral': 78.5, 'contradiction': 0.5}",neutral,entailment
Both governments that weren't failing to benefit might be persuading Beth to sell some doors.,There aren't exactly two governments that weren't failing to benefit,"{'entailment': 0.9, 'neutral': 2.3, 'contradiction': 96.8}",contradiction,contradiction
Both governments that weren't failing to benefit might be persuading Beth to sell some doors.,There are exactly two pedestrians that weren't failing to benefit,"{'entailment': 0.4, 'neutral': 2.7, 'contradiction': 96.9}",contradiction,neutral
"If both governments that weren't failing to benefit are persuading Beth to sell some doors, it's okay.",There are exactly two governments that weren't failing to benefit,"{'entailment': 1.8, 'neutral': 97.8, 'contradiction': 0.4}",neutral,entailment
"If both governments that weren't failing to benefit are persuading Beth to sell some doors, it's okay.",There aren't exactly two governments that weren't failing to benefit,"{'entailment': 7.7, 'neutral': 74.9, 'contradiction': 17.4}",contradiction,contradiction
"If both governments that weren't failing to benefit are persuading Beth to sell some doors, it's okay.",There are exactly two pedestrians that weren't failing to benefit,"{'entailment': 0.3, 'neutral': 4.0, 'contradiction': 95.7}",contradiction,neutral
Both governments that weren't failing to benefit aren't persuading Beth to sell some doors.,Both governments that weren't failing to benefit are persuading Beth to sell some doors.,"{'entailment': 0.2, 'neutral': 0.3, 'contradiction': 99.5}",contradiction,contradiction
Are both governments that weren't failing to benefit persuading Beth to sell some doors?,Both governments that weren't failing to benefit are persuading Beth to sell some doors.,"{'entailment': 65.5, 'neutral': 32.4, 'contradiction': 2.1}",entailment,neutral
Both governments that weren't failing to benefit might be persuading Beth to sell some doors.,Both governments that weren't failing to benefit are persuading Beth to sell some doors.,"{'entailment': 81.7, 'neutral': 17.1, 'contradiction': 1.2}",entailment,neutral
"If both governments that weren't failing to benefit are persuading Beth to sell some doors, it's okay.",Both governments that weren't failing to benefit are persuading Beth to sell some doors.,"{'entailment': 94.9, 'neutral': 4.8, 'contradiction': 0.3}",entailment,neutral
Both mouths that worry many hospitals fling open.,There are exactly two mouths that worry many hospitals,"{'entailment': 14.2, 'neutral': 85.0, 'contradiction': 0.8}",neutral,entailment
Both mouths that worry many hospitals fling open.,There are dozens of mouths that worry many hospitals.,"{'entailment': 0.4, 'neutral': 93.7, 'contradiction': 5.9}",contradiction,contradiction
Both mouths that worry many hospitals fling open.,There are exactly two gates that worry many hospitals,"{'entailment': 10.4, 'neutral': 76.7, 'contradiction': 12.9}",contradiction,neutral
Both mouths that worry many hospitals don't fling open.,There are exactly two mouths that worry many hospitals,"{'entailment': 20.3, 'neutral': 78.0, 'contradiction': 1.7}",neutral,entailment
Both mouths that worry many hospitals don't fling open.,There are dozens of mouths that worry many hospitals.,"{'entailment': 0.3, 'neutral': 97.7, 'contradiction': 2.0}",contradiction,contradiction
Both mouths that worry many hospitals don't fling open.,There are exactly two gates that worry many hospitals,"{'entailment': 10.8, 'neutral': 70.1, 'contradiction': 19.0}",contradiction,neutral
Do both mouths that worry many hospitals fling open.,There are exactly two mouths that worry many hospitals,"{'entailment': 3.4, 'neutral': 95.1, 'contradiction': 1.4}",neutral,entailment
Do both mouths that worry many hospitals fling open.,There are dozens of mouths that worry many hospitals.,"{'entailment': 0.2, 'neutral': 99.5, 'contradiction': 0.3}",contradiction,contradiction
Do both mouths that worry many hospitals fling open.,There are exactly two gates that worry many hospitals,"{'entailment': 4.8, 'neutral': 77.8, 'contradiction': 17.5}",contradiction,neutral
Both mouths that worry many hospitals might fling open.,There are exactly two mouths that worry many hospitals,"{'entailment': 12.8, 'neutral': 86.1, 'contradiction': 1.1}",neutral,entailment
Both mouths that worry many hospitals might fling open.,There are dozens of mouths that worry many hospitals.,"{'entailment': 0.3, 'neutral': 95.3, 'contradiction': 4.5}",contradiction,contradiction
Both mouths that worry many hospitals might fling open.,There are exactly two gates that worry many hospitals,"{'entailment': 9.5, 'neutral': 80.6, 'contradiction': 9.9}",contradiction,neutral
"If both mouths that worry many hospitals fling open, it's okay.",There are exactly two mouths that worry many hospitals,"{'entailment': 1.7, 'neutral': 97.7, 'contradiction': 0.6}",neutral,entailment
"If both mouths that worry many hospitals fling open, it's okay.",There are dozens of mouths that worry many hospitals.,"{'entailment': 0.3, 'neutral': 95.1, 'contradiction': 4.5}",contradiction,contradiction
"If both mouths that worry many hospitals fling open, it's okay.",There are exactly two gates that worry many hospitals,"{'entailment': 3.0, 'neutral': 87.0, 'contradiction': 9.9}",contradiction,neutral
Both mouths that worry many hospitals don't fling open.,Both mouths that worry many hospitals fling open.,"{'entailment': 0.0, 'neutral': 0.1, 'contradiction': 99.9}",contradiction,contradiction
Do both mouths that worry many hospitals fling open.,Both mouths that worry many hospitals fling open.,"{'entailment': 95.4, 'neutral': 4.0, 'contradiction': 0.6}",entailment,neutral
Both mouths that worry many hospitals might fling open.,Both mouths that worry many hospitals fling open.,"{'entailment': 67.3, 'neutral': 26.7, 'contradiction': 6.0}",entailment,neutral
"If both mouths that worry many hospitals fling open, it's okay.",Both mouths that worry many hospitals fling open.,"{'entailment': 95.3, 'neutral': 4.4, 'contradiction': 0.3}",entailment,neutral
Both women who hid away have want to work hard.,There are exactly two women who hid away,"{'entailment': 8.6, 'neutral': 91.2, 'contradiction': 0.2}",neutral,entailment
Both women who hid away have want to work hard.,There are dozens of women who hid away.,"{'entailment': 0.1, 'neutral': 97.9, 'contradiction': 2.0}",contradiction,contradiction
Both women who hid away have want to work hard.,There are exactly two patients who hid away,"{'entailment': 0.4, 'neutral': 98.3, 'contradiction': 1.3}",contradiction,neutral
Both women who hid away haven't want to work hard.,There are exactly two women who hid away,"{'entailment': 12.0, 'neutral': 87.6, 'contradiction': 0.3}",neutral,entailment
Both women who hid away haven't want to work hard.,There are dozens of women who hid away.,"{'entailment': 0.1, 'neutral': 96.5, 'contradiction': 3.4}",contradiction,contradiction
Both women who hid away haven't want to work hard.,There are exactly two patients who hid away,"{'entailment': 0.4, 'neutral': 98.3, 'contradiction': 1.3}",contradiction,neutral
Have both women who hid away want to work hard?,There are exactly two women who hid away,"{'entailment': 2.1, 'neutral': 97.2, 'contradiction': 0.7}",neutral,entailment
Have both women who hid away want to work hard?,There are dozens of women who hid away.,"{'entailment': 0.0, 'neutral': 99.6, 'contradiction': 0.4}",contradiction,contradiction
Have both women who hid away want to work hard?,There are exactly two patients who hid away,"{'entailment': 0.4, 'neutral': 93.9, 'contradiction': 5.7}",contradiction,neutral
Both women who hid away might have want to work hard.,There are exactly two women who hid away,"{'entailment': 5.7, 'neutral': 94.0, 'contradiction': 0.3}",neutral,entailment
Both women who hid away might have want to work hard.,There are dozens of women who hid away.,"{'entailment': 0.1, 'neutral': 99.4, 'contradiction': 0.5}",contradiction,contradiction
Both women who hid away might have want to work hard.,There are exactly two patients who hid away,"{'entailment': 0.4, 'neutral': 97.5, 'contradiction': 2.1}",contradiction,neutral
"If both women who hid away have want to work hard, it's okay.",There are exactly two women who hid away,"{'entailment': 1.2, 'neutral': 98.6, 'contradiction': 0.2}",neutral,entailment
"If both women who hid away have want to work hard, it's okay.",There are dozens of women who hid away.,"{'entailment': 0.0, 'neutral': 99.7, 'contradiction': 0.2}",contradiction,contradiction
"If both women who hid away have want to work hard, it's okay.",There are exactly two patients who hid away,"{'entailment': 0.2, 'neutral': 98.7, 'contradiction': 1.1}",contradiction,neutral
Both women who hid away haven't want to work hard.,Both women who hid away have want to work hard.,"{'entailment': 0.2, 'neutral': 0.2, 'contradiction': 99.6}",contradiction,contradiction
Have both women who hid away want to work hard?,Both women who hid away have want to work hard.,"{'entailment': 55.1, 'neutral': 43.2, 'contradiction': 1.7}",entailment,neutral
Both women who hid away might have want to work hard.,Both women who hid away have want to work hard.,"{'entailment': 63.8, 'neutral': 31.6, 'contradiction': 4.6}",entailment,neutral
"If both women who hid away have want to work hard, it's okay.",Both women who hid away have want to work hard.,"{'entailment': 90.0, 'neutral': 9.6, 'contradiction': 0.4}",entailment,neutral
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly two actors who noticed Tonya,"{'entailment': 12.0, 'neutral': 87.8, 'contradiction': 0.2}",neutral,entailment
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly three actors who noticed Tonya.,"{'entailment': 0.2, 'neutral': 50.1, 'contradiction': 49.7}",contradiction,contradiction
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly two teachers who noticed Tonya,"{'entailment': 0.1, 'neutral': 1.5, 'contradiction': 98.5}",contradiction,neutral
Both actors who noticed Tonya hadn't preferred Becca to come here.,There are exactly two actors who noticed Tonya,"{'entailment': 15.2, 'neutral': 84.6, 'contradiction': 0.2}",neutral,entailment
Both actors who noticed Tonya hadn't preferred Becca to come here.,There are exactly three actors who noticed Tonya.,"{'entailment': 0.2, 'neutral': 35.1, 'contradiction': 64.8}",contradiction,contradiction
Both actors who noticed Tonya hadn't preferred Becca to come here.,There are exactly two teachers who noticed Tonya,"{'entailment': 0.1, 'neutral': 1.7, 'contradiction': 98.2}",contradiction,neutral
Had both actors who noticed Tonya preferred Becca to come here?,There are exactly two actors who noticed Tonya,"{'entailment': 1.8, 'neutral': 97.4, 'contradiction': 0.8}",neutral,entailment
Had both actors who noticed Tonya preferred Becca to come here?,There are exactly three actors who noticed Tonya.,"{'entailment': 0.2, 'neutral': 90.3, 'contradiction': 9.6}",contradiction,contradiction
Had both actors who noticed Tonya preferred Becca to come here?,There are exactly two teachers who noticed Tonya,"{'entailment': 0.1, 'neutral': 2.1, 'contradiction': 97.9}",contradiction,neutral
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly two actors who noticed Tonya,"{'entailment': 6.9, 'neutral': 92.9, 'contradiction': 0.2}",neutral,entailment
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly three actors who noticed Tonya.,"{'entailment': 0.2, 'neutral': 70.8, 'contradiction': 29.1}",contradiction,contradiction
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly two teachers who noticed Tonya,"{'entailment': 0.1, 'neutral': 1.1, 'contradiction': 98.9}",contradiction,neutral
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly two actors who noticed Tonya,"{'entailment': 1.6, 'neutral': 98.1, 'contradiction': 0.3}",neutral,entailment
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly three actors who noticed Tonya.,"{'entailment': 0.1, 'neutral': 98.7, 'contradiction': 1.2}",contradiction,contradiction
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly two teachers who noticed Tonya,"{'entailment': 0.1, 'neutral': 3.1, 'contradiction': 96.8}",contradiction,neutral
Both actors who noticed Tonya hadn't preferred Becca to come here.,Both actors who noticed Tonya had preferred Becca to come here.,"{'entailment': 0.1, 'neutral': 0.1, 'contradiction': 99.7}",contradiction,contradiction
Had both actors who noticed Tonya preferred Becca to come here?,Both actors who noticed Tonya had preferred Becca to come here.,"{'entailment': 55.9, 'neutral': 41.1, 'contradiction': 3.1}",entailment,neutral
Both actors who noticed Tonya might have preferred Becca to come here.,Both actors who noticed Tonya had preferred Becca to come here.,"{'entailment': 53.5, 'neutral': 36.2, 'contradiction': 10.3}",entailment,neutral
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",Both actors who noticed Tonya had preferred Becca to come here.,"{'entailment': 90.4, 'neutral': 9.0, 'contradiction': 0.6}",entailment,neutral
Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,There are exactly two actresses that can't forfeit,"{'entailment': 9.3, 'neutral': 90.5, 'contradiction': 0.2}",neutral,entailment
Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,There are exactly three actresses that can't forfeit.,"{'entailment': 0.3, 'neutral': 94.5, 'contradiction': 5.1}",contradiction,contradiction
Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,"{'entailment': 0.1, 'neutral': 0.9, 'contradiction': 99.0}",contradiction,neutral
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly two actresses that can't forfeit,"{'entailment': 8.0, 'neutral': 91.8, 'contradiction': 0.3}",neutral,entailment
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly three actresses that can't forfeit.,"{'entailment': 0.3, 'neutral': 95.4, 'contradiction': 4.3}",contradiction,contradiction
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,"{'entailment': 0.1, 'neutral': 0.8, 'contradiction': 99.1}",contradiction,neutral
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,There are exactly two actresses that can't forfeit,"{'entailment': 1.3, 'neutral': 97.5, 'contradiction': 1.2}",neutral,entailment
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,There are exactly three actresses that can't forfeit.,"{'entailment': 0.3, 'neutral': 90.4, 'contradiction': 9.4}",contradiction,contradiction
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,There are exactly two boys that can't forfeit,"{'entailment': 0.1, 'neutral': 0.7, 'contradiction': 99.2}",contradiction,neutral
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,There are exactly two actresses that can't forfeit,"{'entailment': 6.0, 'neutral': 93.8, 'contradiction': 0.3}",neutral,entailment
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,There are exactly three actresses that can't forfeit.,"{'entailment': 0.3, 'neutral': 96.3, 'contradiction': 3.4}",contradiction,contradiction
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,"{'entailment': 0.1, 'neutral': 0.9, 'contradiction': 99.0}",contradiction,neutral
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly two actresses that can't forfeit,"{'entailment': 1.5, 'neutral': 98.3, 'contradiction': 0.2}",neutral,entailment
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly three actresses that can't forfeit.,"{'entailment': 0.2, 'neutral': 99.3, 'contradiction': 0.5}",contradiction,contradiction
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly two boys that can't forfeit,"{'entailment': 0.1, 'neutral': 1.7, 'contradiction': 98.2}",contradiction,neutral
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,"{'entailment': 0.1, 'neutral': 0.1, 'contradiction': 99.8}",contradiction,contradiction
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,"{'entailment': 74.9, 'neutral': 23.6, 'contradiction': 1.5}",entailment,neutral
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,"{'entailment': 69.6, 'neutral': 27.5, 'contradiction': 2.9}",entailment,neutral
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,"{'entailment': 94.2, 'neutral': 5.3, 'contradiction': 0.4}",entailment,neutral
Both senators who break a bicycle scratched.,There are exactly two senators who break a bicycle,"{'entailment': 11.5, 'neutral': 88.2, 'contradiction': 0.3}",neutral,entailment
Both senators who break a bicycle scratched.,There are dozens of senators who break a bicycle.,"{'entailment': 0.3, 'neutral': 54.7, 'contradiction': 45.0}",contradiction,contradiction
Both senators who break a bicycle scratched.,There are exactly two pedestrians who break a bicycle,"{'entailment': 11.2, 'neutral': 40.5, 'contradiction': 48.4}",contradiction,neutral
Both senators who break a bicycle didn't scratch.,There are exactly two senators who break a bicycle,"{'entailment': 7.0, 'neutral': 92.7, 'contradiction': 0.2}",neutral,entailment
Both senators who break a bicycle didn't scratch.,There are dozens of senators who break a bicycle.,"{'entailment': 0.2, 'neutral': 41.7, 'contradiction': 58.1}",contradiction,contradiction
Both senators who break a bicycle didn't scratch.,There are exactly two pedestrians who break a bicycle,"{'entailment': 7.2, 'neutral': 40.0, 'contradiction': 52.8}",contradiction,neutral
Did both senators who break a bicycle scratch.,There are exactly two senators who break a bicycle,"{'entailment': 4.2, 'neutral': 95.2, 'contradiction': 0.7}",neutral,entailment
Did both senators who break a bicycle scratch.,There are dozens of senators who break a bicycle.,"{'entailment': 0.1, 'neutral': 98.7, 'contradiction': 1.2}",contradiction,contradiction
Did both senators who break a bicycle scratch.,There are exactly two pedestrians who break a bicycle,"{'entailment': 4.8, 'neutral': 43.6, 'contradiction': 51.6}",contradiction,neutral
Both senators who break a bicycle might have scratched.,There are exactly two senators who break a bicycle,"{'entailment': 4.3, 'neutral': 95.4, 'contradiction': 0.3}",neutral,entailment
Both senators who break a bicycle might have scratched.,There are dozens of senators who break a bicycle.,"{'entailment': 0.1, 'neutral': 97.6, 'contradiction': 2.3}",contradiction,contradiction
Both senators who break a bicycle might have scratched.,There are exactly two pedestrians who break a bicycle,"{'entailment': 5.1, 'neutral': 44.7, 'contradiction': 50.2}",contradiction,neutral
"If both senators who break a bicycle scratched, it's okay.",There are exactly two senators who break a bicycle,"{'entailment': 1.7, 'neutral': 98.0, 'contradiction': 0.3}",neutral,entailment
"If both senators who break a bicycle scratched, it's okay.",There are dozens of senators who break a bicycle.,"{'entailment': 0.1, 'neutral': 99.2, 'contradiction': 0.7}",contradiction,contradiction
"If both senators who break a bicycle scratched, it's okay.",There are exactly two pedestrians who break a bicycle,"{'entailment': 3.5, 'neutral': 47.9, 'contradiction': 48.6}",contradiction,neutral
Both senators who break a bicycle didn't scratch.,Both senators who break a bicycle scratched.,"{'entailment': 0.1, 'neutral': 0.2, 'contradiction': 99.7}",contradiction,contradiction
Did both senators who break a bicycle scratch.,Both senators who break a bicycle scratched.,"{'entailment': 91.4, 'neutral': 7.6, 'contradiction': 1.1}",entailment,neutral
Both senators who break a bicycle might have scratched.,Both senators who break a bicycle scratched.,"{'entailment': 44.4, 'neutral': 48.8, 'contradiction': 6.8}",neutral,neutral
"If both senators who break a bicycle scratched, it's okay.",Both senators who break a bicycle scratched.,"{'entailment': 96.5, 'neutral': 3.2, 'contradiction': 0.3}",entailment,neutral
Both adults who manage to get a job bought this hill.,There are exactly two adults who manage to get a job,"{'entailment': 19.7, 'neutral': 79.9, 'contradiction': 0.4}",neutral,entailment
Both adults who manage to get a job bought this hill.,There are exactly three adults who manage to get a job.,"{'entailment': 0.2, 'neutral': 17.7, 'contradiction': 82.1}",contradiction,contradiction
Both adults who manage to get a job bought this hill.,There are exactly two banks who manage to get a job,"{'entailment': 1.2, 'neutral': 85.0, 'contradiction': 13.8}",contradiction,neutral
Both adults who manage to get a job didn't buy this hill.,There are exactly two adults who manage to get a job,"{'entailment': 10.1, 'neutral': 89.4, 'contradiction': 0.5}",neutral,entailment
Both adults who manage to get a job didn't buy this hill.,There are exactly three adults who manage to get a job.,"{'entailment': 0.2, 'neutral': 16.3, 'contradiction': 83.5}",contradiction,contradiction
Both adults who manage to get a job didn't buy this hill.,There are exactly two banks who manage to get a job,"{'entailment': 1.2, 'neutral': 86.6, 'contradiction': 12.3}",contradiction,neutral
Did both adults who manage to get a job buy this hill.,There are exactly two adults who manage to get a job,"{'entailment': 4.3, 'neutral': 94.9, 'contradiction': 0.8}",neutral,entailment
Did both adults who manage to get a job buy this hill.,There are exactly three adults who manage to get a job.,"{'entailment': 0.2, 'neutral': 83.1, 'contradiction': 16.7}",contradiction,contradiction
Did both adults who manage to get a job buy this hill.,There are exactly two banks who manage to get a job,"{'entailment': 0.6, 'neutral': 82.1, 'contradiction': 17.3}",contradiction,neutral
Both adults who manage to get a job might have bought this hill.,There are exactly two adults who manage to get a job,"{'entailment': 7.6, 'neutral': 91.7, 'contradiction': 0.7}",neutral,entailment
Both adults who manage to get a job might have bought this hill.,There are exactly three adults who manage to get a job.,"{'entailment': 0.2, 'neutral': 15.2, 'contradiction': 84.6}",contradiction,contradiction
Both adults who manage to get a job might have bought this hill.,There are exactly two banks who manage to get a job,"{'entailment': 1.4, 'neutral': 74.3, 'contradiction': 24.3}",contradiction,neutral
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly two adults who manage to get a job,"{'entailment': 1.3, 'neutral': 98.4, 'contradiction': 0.3}",neutral,entailment
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly three adults who manage to get a job.,"{'entailment': 0.2, 'neutral': 71.1, 'contradiction': 28.7}",contradiction,contradiction
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly two banks who manage to get a job,"{'entailment': 0.4, 'neutral': 94.6, 'contradiction': 5.0}",contradiction,neutral
Both adults who manage to get a job didn't buy this hill.,Both adults who manage to get a job bought this hill.,"{'entailment': 0.0, 'neutral': 0.1, 'contradiction': 99.9}",contradiction,contradiction
Did both adults who manage to get a job buy this hill.,Both adults who manage to get a job bought this hill.,"{'entailment': 97.7, 'neutral': 2.1, 'contradiction': 0.2}",entailment,neutral
Both adults who manage to get a job might have bought this hill.,Both adults who manage to get a job bought this hill.,"{'entailment': 23.7, 'neutral': 65.8, 'contradiction': 10.6}",neutral,neutral
"If both adults who manage to get a job bought this hill, it's okay.",Both adults who manage to get a job bought this hill.,"{'entailment': 96.6, 'neutral': 3.2, 'contradiction': 0.2}",entailment,neutral
Both adults that were appearing do date.,There are exactly two adults that were appearing,"{'entailment': 53.3, 'neutral': 46.3, 'contradiction': 0.4}",entailment,entailment
Both adults that were appearing do date.,There are dozens of adults that were appearing.,"{'entailment': 0.1, 'neutral': 21.2, 'contradiction': 78.7}",contradiction,contradiction
Both adults that were appearing do date.,There are exactly two girls that were appearing,"{'entailment': 0.5, 'neutral': 24.8, 'contradiction': 74.7}",contradiction,neutral
Both adults that were appearing don't date.,There are exactly two adults that were appearing,"{'entailment': 11.3, 'neutral': 87.9, 'contradiction': 0.8}",neutral,entailment
Both adults that were appearing don't date.,There are dozens of adults that were appearing.,"{'entailment': 0.1, 'neutral': 80.9, 'contradiction': 19.0}",contradiction,contradiction
Both adults that were appearing don't date.,There are exactly two girls that were appearing,"{'entailment': 0.2, 'neutral': 12.5, 'contradiction': 87.4}",contradiction,neutral
Do both adults that were appearing date?,There are exactly two adults that were appearing,"{'entailment': 2.8, 'neutral': 94.9, 'contradiction': 2.3}",neutral,entailment
Do both adults that were appearing date?,There are dozens of adults that were appearing.,"{'entailment': 0.0, 'neutral': 99.6, 'contradiction': 0.3}",contradiction,contradiction
Do both adults that were appearing date?,There are exactly two girls that were appearing,"{'entailment': 0.2, 'neutral': 29.5, 'contradiction': 70.3}",contradiction,neutral
Both adults that were appearing might date.,There are exactly two adults that were appearing,"{'entailment': 5.1, 'neutral': 94.0, 'contradiction': 0.8}",neutral,entailment
Both adults that were appearing might date.,There are dozens of adults that were appearing.,"{'entailment': 0.1, 'neutral': 90.8, 'contradiction': 9.1}",contradiction,contradiction
Both adults that were appearing might date.,There are exactly two girls that were appearing,"{'entailment': 0.3, 'neutral': 19.9, 'contradiction': 79.8}",contradiction,neutral
"If both adults that were appearing do date, it's okay.",There are exactly two adults that were appearing,"{'entailment': 2.3, 'neutral': 97.1, 'contradiction': 0.6}",neutral,entailment
"If both adults that were appearing do date, it's okay.",There are dozens of adults that were appearing.,"{'entailment': 0.1, 'neutral': 98.9, 'contradiction': 1.0}",contradiction,contradiction
"If both adults that were appearing do date, it's okay.",There are exactly two girls that were appearing,"{'entailment': 0.3, 'neutral': 76.5, 'contradiction': 23.3}",contradiction,neutral
Both adults that were appearing don't date.,Both adults that were appearing do date.,"{'entailment': 0.1, 'neutral': 0.2, 'contradiction': 99.7}",contradiction,contradiction
Do both adults that were appearing date?,Both adults that were appearing do date.,"{'entailment': 70.6, 'neutral': 28.2, 'contradiction': 1.2}",entailment,neutral
Both adults that were appearing might date.,Both adults that were appearing do date.,"{'entailment': 5.7, 'neutral': 71.8, 'contradiction': 22.4}",contradiction,neutral
"If both adults that were appearing do date, it's okay.",Both adults that were appearing do date.,"{'entailment': 96.2, 'neutral': 3.5, 'contradiction': 0.4}",entailment,neutral
Both hospitals that have forfeited respect Edward.,There are exactly two hospitals that have forfeited,"{'entailment': 7.0, 'neutral': 92.8, 'contradiction': 0.2}",neutral,entailment
Both hospitals that have forfeited respect Edward.,There aren't exactly two hospitals that have forfeited,"{'entailment': 0.2, 'neutral': 3.0, 'contradiction': 96.8}",contradiction,contradiction
Both hospitals that have forfeited respect Edward.,There are exactly two teachers that have forfeited,"{'entailment': 1.2, 'neutral': 15.8, 'contradiction': 83.1}",contradiction,neutral
Both hospitals that have forfeited don't respect Edward.,There are exactly two hospitals that have forfeited,"{'entailment': 5.2, 'neutral': 94.6, 'contradiction': 0.2}",neutral,entailment
Both hospitals that have forfeited don't respect Edward.,There aren't exactly two hospitals that have forfeited,"{'entailment': 0.4, 'neutral': 8.8, 'contradiction': 90.8}",contradiction,contradiction
Both hospitals that have forfeited don't respect Edward.,There are exactly two teachers that have forfeited,"{'entailment': 0.2, 'neutral': 4.6, 'contradiction': 95.1}",contradiction,neutral
Do both hospitals that have forfeited respect Edward.,There are exactly two hospitals that have forfeited,"{'entailment': 1.2, 'neutral': 98.3, 'contradiction': 0.5}",neutral,entailment
Do both hospitals that have forfeited respect Edward.,There aren't exactly two hospitals that have forfeited,"{'entailment': 4.7, 'neutral': 85.3, 'contradiction': 10.0}",contradiction,contradiction
Do both hospitals that have forfeited respect Edward.,There are exactly two teachers that have forfeited,"{'entailment': 0.3, 'neutral': 9.6, 'contradiction': 90.1}",contradiction,neutral
Both hospitals that have forfeited might respect Edward.,There are exactly two hospitals that have forfeited,"{'entailment': 3.1, 'neutral': 96.8, 'contradiction': 0.2}",neutral,entailment
