premise,hypothesis,gold_label,model1_pred_label,model2_pred_label,section
It is Denise who sounded like Helen.,Exactly one person sounded like that museum.,neutral,contradiction,neutral,cleft_uniqueness
"If it is Carla that did annoy Jodi, it's okay",Exactly one person did annoy Jodi.,entailment,contradiction,neutral,cleft_uniqueness
Does Stacey only pressure Rose to conceal Stephanie?,Stacey pressures Rose to conceal Stephanie.,entailment,entailment,entailment,only_presupposition
The pedestrian only does urge Carl to irritate Sabrina.,The pedestrian does urge Carl to irritate Sabrina.,entailment,entailment,entailment,only_presupposition
This actress might only stand up.,This actress doesn't stand up.,contradiction,contradiction,neutral,only_presupposition
"If Jesus had only whispered, it's okay.",Jesus had whispered.,entailment,contradiction,neutral,only_presupposition
Curtis doesn't only turn out to darken.,Curtis turns out to darken.,entailment,entailment,entailment,only_presupposition
Brad only worried the actors.,Brad worried the actors.,entailment,entailment,entailment,only_presupposition
"If Kristen only discovered who was discovering all drivers to lie, it's okay.",Kristen didn't discover who was discovering all drivers to lie.,contradiction,entailment,neutral,only_presupposition
Emily only does climb down these steps.,Emily doesn't climb down these steps.,contradiction,contradiction,contradiction,only_presupposition
April only judged Liam to argue.,Todd's handymen judged Liam to argue.,neutral,contradiction,contradiction,only_presupposition
Kristen might have only discovered who was discovering all drivers to lie.,Matt discovered who was discovering all drivers to lie.,neutral,contradiction,neutral,only_presupposition
Libraries don't only compel many drivers' ex-husband to get fired.,This student's sons do compel many drivers' ex-husband to get fired.,neutral,contradiction,neutral,only_presupposition
"If the book only impressed Sharon, it's okay.",The book impressed Sharon.,entailment,entailment,neutral,only_presupposition
Laura might only explain the girls haven't hidden.,Laura only explains the girls haven't hidden.,neutral,entailment,neutral,only_presupposition
"If Emily only does climb down these steps, it's okay.",Catherine's brother does climb down these steps.,neutral,contradiction,neutral,only_presupposition
Does that committee only testify?,That committee does testify.,entailment,neutral,neutral,only_presupposition
Emily only does climb down these steps.,Emily does climb down these steps.,entailment,entailment,entailment,only_presupposition
Colleen was only biking to that library.,Tanya was biking to that library.,neutral,contradiction,neutral,only_presupposition
The pedestrian might only urge Carl to irritate Sabrina.,The pedestrian does urge Carl to irritate Sabrina.,entailment,contradiction,neutral,only_presupposition
Did Christopher only paint?,Christopher didn't paint.,contradiction,contradiction,contradiction,only_presupposition
Stacey might only pressure Rose to conceal Stephanie.,Leslie pressures Rose to conceal Stephanie.,neutral,contradiction,neutral,only_presupposition
This drawing might be only looking like the cups.,This drawing is only looking like the cups.,neutral,neutral,neutral,only_presupposition
Was Brad only spinning around?,Brad was spinning around.,entailment,entailment,neutral,only_presupposition
Laura might only explain the girls haven't hidden.,Carmen explains the girls haven't hidden.,neutral,contradiction,neutral,only_presupposition
These trucks only chip.,These carriages chip.,neutral,entailment,neutral,only_presupposition
"If Brad only worried the actors, it's okay.",Brad worried the actors.,entailment,entailment,neutral,only_presupposition
Melanie didn't only convince James's oncologist to speak up.,Melanie only did convince James's oncologist to speak up.,contradiction,contradiction,contradiction,only_presupposition
"If Sheila only cleans this cup, it's okay.",Sheila doesn't clean this cup.,contradiction,contradiction,neutral,only_presupposition
"If libraries only do compel many drivers' ex-husband to get fired, it's okay.",Libraries do compel many drivers' ex-husband to get fired.,entailment,neutral,neutral,only_presupposition
These trucks only chip.,These trucks don't chip.,contradiction,contradiction,contradiction,only_presupposition
"If the pedestrian only does urge Carl to irritate Sabrina, it's okay.",Kayla does urge Carl to irritate Sabrina.,neutral,contradiction,neutral,only_presupposition
Do these customers only spin around?,The brothers of those dancers spin around.,neutral,contradiction,neutral,only_presupposition
Rodney might have only messed up the grocery store.,William's oncologists had messed up the grocery store.,neutral,contradiction,neutral,only_presupposition
Did the blouses only scar Vincent?,The blouses only scared Vincent.,neutral,neutral,neutral,only_presupposition
That committee only does testify.,That committee does testify.,entailment,entailment,entailment,only_presupposition
"If this drawing is only looking like the cups, it's okay.",This drawing is only looking like the cups.,neutral,entailment,neutral,only_presupposition
"If Stacey only pressures Rose to conceal Stephanie, it's okay.",Stacey pressures Rose to conceal Stephanie.,entailment,entailment,neutral,only_presupposition
"If Christopher only painted, it's okay.",Eric painted.,neutral,contradiction,neutral,only_presupposition
"If these cucumbers only burn, it's okay.",These cucumbers burn.,entailment,entailment,neutral,only_presupposition
Kristen didn't only discover who was discovering all drivers to lie.,Kristen discovered who was discovering all drivers to lie.,entailment,entailment,entailment,only_presupposition
"If Christopher only painted, it's okay.",Christopher only painted.,neutral,entailment,neutral,only_presupposition
Sheila only cleans this cup.,Sheila cleans this cup.,entailment,entailment,entailment,only_presupposition
Laura only explains the girls haven't hidden.,Laura doesn't explain the girls haven't hidden.,contradiction,contradiction,contradiction,only_presupposition
Emily might only climb down these steps.,Emily doesn't climb down these steps.,contradiction,contradiction,contradiction,only_presupposition
"If Rodney had only messed up the grocery store, it's okay.",William's oncologists had messed up the grocery store.,neutral,contradiction,contradiction,only_presupposition
Stacey doesn't only pressure Rose to conceal Stephanie.,Stacey doesn't pressure Rose to conceal Stephanie.,contradiction,contradiction,contradiction,only_presupposition
Randolf isn't only astounding Carol.,Randolf is astounding Carol.,entailment,entailment,entailment,only_presupposition
The pedestrian might only urge Carl to irritate Sabrina.,The pedestrian only does urge Carl to irritate Sabrina.,neutral,contradiction,neutral,only_presupposition
"If those skateboards only do crash, it's okay.",Bikes do crash.,neutral,contradiction,neutral,only_presupposition
Emily only does climb down these steps.,Catherine's brother does climb down these steps.,neutral,contradiction,neutral,only_presupposition
"If Donna only did cure Regina, it's okay.",Donna did cure Regina.,entailment,contradiction,neutral,only_presupposition
Did Naomi's mountain shock Sharon?,Naomi has a mountain.,entailment,entailment,entailment,possessed_definites_existence
Lisa's skirt does exist.,Lisa has a skirt.,entailment,entailment,neutral,possessed_definites_existence
Renee's gates might embarrass George.,Renee doesn't have gates.,contradiction,contradiction,contradiction,possessed_definites_existence
"If Jane's supervisor does clean this skirt, it's okay.",Jane has a supervisor.,entailment,entailment,entailment,possessed_definites_existence
Lissa's river doesn't fall.,Lissa has a river.,entailment,entailment,entailment,possessed_definites_existence
The Impressionists' rugs did look like these prints.,The Impressionists have rugs.,entailment,entailment,entailment,possessed_definites_existence
"If Caroline's rabbits did disgust Sharon, it's okay.",Caroline doesn't have rabbits.,contradiction,contradiction,contradiction,possessed_definites_existence
Rose's bird did alarm Peter.,Rose doesn't have a bird.,contradiction,contradiction,contradiction,possessed_definites_existence
Theresa's girlfriend does reference Elizabeth.,Donald has a girlfriend.,neutral,contradiction,neutral,possessed_definites_existence
Caroline's rabbits might have disgusted Sharon.,Lucille has rabbits.,neutral,contradiction,neutral,possessed_definites_existence
Scott's universities didn't retaliate.,The Impressionists has universities.,neutral,contradiction,neutral,possessed_definites_existence
"If Wayne's spouse does leave the dancer, it's okay.",Wayne has a spouse.,entailment,entailment,entailment,possessed_definites_existence
Susan's eggplant might have aggravated these universities.,Susan's eggplant did aggravate these universities.,neutral,contradiction,neutral,possessed_definites_existence
"If Rose's bird did alarm Peter, it's okay.",Rose has a bird.,neutral,entailment,entailment,possessed_definites_existence
Did Daniel's apples hurt Connie?,Daniel has apples.,entailment,entailment,entailment,possessed_definites_existence
Rose's bird did alarm Peter.,Rose has a bird.,entailment,entailment,entailment,possessed_definites_existence
Rose's ice did stun the children.,Lissa has ice.,neutral,contradiction,neutral,possessed_definites_existence
Lisa's skirt might exist.,Lisa has a skirt.,entailment,entailment,neutral,possessed_definites_existence
Did Lori's plumbers work hard?,Lori doesn't have plumbers.,contradiction,contradiction,contradiction,possessed_definites_existence
Naomi's mountain might have shocked Sharon.,Lisa has a mountain.,neutral,contradiction,neutral,possessed_definites_existence
This adult's government might ask Catherine to clean a lot of banks.,This adult's government does ask Catherine to clean a lot of banks.,neutral,contradiction,neutral,possessed_definites_existence
Does Paul's doctor cook?,Paul has a doctor.,entailment,entailment,entailment,possessed_definites_existence
Susan's eggplant might have aggravated these universities.,Jerry has a eggplant.,neutral,contradiction,neutral,possessed_definites_existence
Linda's cars do hurt Leslie.,Bethany has cars.,neutral,contradiction,neutral,possessed_definites_existence
"If the Impressionists' rugs did look like these prints, it's okay.",The Impressionists have rugs.,entailment,entailment,entailment,possessed_definites_existence
Lawrence's teacher didn't reveal Robert.,Lawrence's teacher did reveal Robert.,contradiction,contradiction,contradiction,possessed_definites_existence
"If Carmen's cousins did want this senator to stun Wendy, it's okay.",Carmen doesn't have cousins.,contradiction,contradiction,contradiction,possessed_definites_existence
"If Scott's universities did retaliate, it's okay.",Scott has universities.,entailment,entailment,entailment,possessed_definites_existence
Linda's cars do hurt Leslie.,Linda doesn't have cars.,contradiction,contradiction,contradiction,possessed_definites_existence
"If Lisa's skirt does exist, it's okay.",This actress has a skirt.,neutral,entailment,neutral,possessed_definites_existence
Does Suzanne's college campus bore Claire?,Elaine has a college campus.,neutral,contradiction,neutral,possessed_definites_existence
Jennifer's car might have shocked Becky.,Phillip has a car.,neutral,contradiction,neutral,possessed_definites_existence
Does Craig's ex-boyfriend pressure Gina's mother to study?,Craig's ex-boyfriend does pressure Gina's mother to study.,neutral,neutral,neutral,possessed_definites_existence
Daniel's apples did hurt Connie.,Daniel has apples.,entailment,entailment,entailment,possessed_definites_existence
"If this adult's government does ask Catherine to clean a lot of banks, it's okay.",This adult's government does ask Catherine to clean a lot of banks.,neutral,neutral,neutral,possessed_definites_existence
"If Naomi's mountain did shock Sharon, it's okay.",Naomi has a mountain.,entailment,entailment,entailment,possessed_definites_existence
"If Lori's plumbers did work hard, it's okay.",The person has plumbers.,neutral,entailment,neutral,possessed_definites_existence
"If Jeffrey's grocery stores did disappear, it's okay.",Jeffrey has grocery stores.,entailment,entailment,entailment,possessed_definites_existence
Caroline's rabbits didn't disgust Sharon.,Caroline has rabbits.,entailment,entailment,entailment,possessed_definites_existence
"If Lori's plumbers did work hard, it's okay.",Lori's plumbers did work hard.,neutral,neutral,neutral,possessed_definites_existence
Carmen's cousins did want this senator to stun Wendy.,Carmen has cousins.,entailment,entailment,entailment,possessed_definites_existence
Susan's eggplant did aggravate these universities.,Susan doesn't have a eggplant.,contradiction,contradiction,contradiction,possessed_definites_existence
Rose's bird might have alarmed Peter.,Rose doesn't have a bird.,contradiction,contradiction,contradiction,possessed_definites_existence
"If Jennifer's car did shock Becky, it's okay.",Phillip has a car.,neutral,contradiction,neutral,possessed_definites_existence
Naomi's mountain didn't shock Sharon.,Naomi doesn't have a mountain.,contradiction,contradiction,contradiction,possessed_definites_existence
Lori's guest doesn't disgust the waitresses.,Lori has a guest.,entailment,entailment,entailment,possessed_definites_existence
Lisa's skirt might exist.,Lisa's skirt does exist.,neutral,contradiction,neutral,possessed_definites_existence
"If Rachelle's blouse does shrink, it's okay.",Tammy has a blouse.,neutral,contradiction,neutral,possessed_definites_existence
Rose's bird did alarm Peter.,Rose has a bird.,neutral,entailment,entailment,possessed_definites_existence
"If Brett's grandsons do realize who sits down, it's okay.",Brett has grandsons.,entailment,entailment,entailment,possessed_definites_existence
Did Diana's story that hadn't disgusted Jill aggravate Mary?,Diana has exactly one story that hadn't disgusted Jill.,entailment,neutral,neutral,possessed_definites_uniqueness
Raymond's blouse that is vanishing does annoy Christine.,Raymond has exactly one blouse that is vanishing.,entailment,neutral,neutral,possessed_definites_uniqueness
Becca's horse that existed might have broken the plane.,Becca doesn't have exactly one horse that existed.,contradiction,neutral,neutral,possessed_definites_uniqueness
"If Maria's photograph that hasn't hurt Tammy does alarm this museum, it's okay.",Maria has exactly one photograph that hasn't hurt Tammy.,entailment,contradiction,neutral,possessed_definites_uniqueness
Julia's chair that embarrasses some boy didn't embarrass this library.,Julia has exactly one chair that embarrasses some boy.,entailment,neutral,neutral,possessed_definites_uniqueness
David's box that wasn't disgusting Marie did look like those prints.,David has exactly one box that wasn't disgusting Marie.,entailment,neutral,neutral,possessed_definites_uniqueness
"If Brian's popsicle that couldn't stun Karla does fall, it's okay.",Brian doesn't have exactly one popsicle that couldn't stun Karla.,contradiction,contradiction,neutral,possessed_definites_uniqueness
Vincent's photograph that would astound Walter does fall.,Vincent doesn't have exactly one photograph that would astound Walter.,contradiction,contradiction,neutral,possessed_definites_uniqueness
Sally's car that annoys Vincent does bore Tina.,These patients has exactly one car that annoys Vincent.,neutral,neutral,neutral,possessed_definites_uniqueness
Brian's popsicle that couldn't stun Karla might fall.,Janice has exactly one popsicle that couldn't stun Karla.,neutral,contradiction,neutral,possessed_definites_uniqueness
This cashier's cafe that isn't wasting away doesn't annoy James.,Melanie has exactly one cafe that isn't wasting away.,neutral,contradiction,neutral,possessed_definites_uniqueness
"If those waitresses' shoe that hadn't annoyed the schools did disappear, it's okay.",Those waitresses have exactly one shoe that hadn't annoyed the schools.,entailment,neutral,neutral,possessed_definites_uniqueness
Tiffany's chair that is scaring Samantha might have wasted away.,Tiffany's chair that is scaring Samantha did waste away.,neutral,contradiction,neutral,possessed_definites_uniqueness
"If Vincent's photograph that would astound Walter does fall, it's okay.",Leslie has exactly one photograph that would astound Walter.,neutral,contradiction,neutral,possessed_definites_uniqueness
Does Carmen's ladder that had confused many libraries look like prints?,Carmen has exactly one ladder that had confused many libraries.,entailment,neutral,neutral,possessed_definites_uniqueness
Vincent's photograph that would astound Walter does fall.,Vincent has exactly one photograph that would astound Walter.,entailment,neutral,neutral,possessed_definites_uniqueness
Jacqueline's bank that didn't cooperate did manage to benefit.,Rhonda has exactly one bank that didn't cooperate.,neutral,contradiction,neutral,possessed_definites_uniqueness
Raymond's blouse that is vanishing might annoy Christine.,Raymond has exactly one blouse that is vanishing.,entailment,neutral,neutral,possessed_definites_uniqueness
Did Craig's lake that isn't disappearing melt?,Craig doesn't have exactly one lake that isn't disappearing.,contradiction,contradiction,neutral,possessed_definites_uniqueness
Diana's story that hadn't disgusted Jill might have aggravated Mary.,That dancer has exactly one story that hadn't disgusted Jill.,neutral,contradiction,neutral,possessed_definites_uniqueness
Brian's skateboard that wasn't disgusting Allison might shock Sheila.,Brian's skateboard that wasn't disgusting Allison does shock Sheila.,neutral,contradiction,neutral,possessed_definites_uniqueness
Does Carrie's spotlight that was scaring Barbara vanish?,Carrie has exactly one spotlight that was scaring Barbara.,entailment,neutral,neutral,possessed_definites_uniqueness
Tiffany's chair that is scaring Samantha might have wasted away.,Maria has exactly one chair that is scaring Samantha.,neutral,contradiction,neutral,possessed_definites_uniqueness
Gerald's banana that worries Pamela does blacken.,Those women has exactly one banana that worries Pamela.,neutral,contradiction,neutral,possessed_definites_uniqueness
"If David's box that wasn't disgusting Marie did look like those prints, it's okay.",David has exactly one box that wasn't disgusting Marie.,entailment,contradiction,neutral,possessed_definites_uniqueness
Anne's candle that had dimmed doesn't disturb Robert.,Anne's candle that had dimmed does disturb Robert.,contradiction,contradiction,contradiction,possessed_definites_uniqueness
"If Michelle's cafe that was falling does irritate Alan, it's okay.",Michelle doesn't have exactly one cafe that was falling.,contradiction,contradiction,neutral,possessed_definites_uniqueness
"If this cashier's cafe that isn't wasting away does annoy James, it's okay.",This cashier has exactly one cafe that isn't wasting away.,entailment,neutral,neutral,possessed_definites_uniqueness
Gerald's banana that worries Pamela does blacken.,Gerald doesn't have exactly one banana that worries Pamela.,contradiction,contradiction,neutral,possessed_definites_uniqueness
"If Raymond's blouse that is vanishing does annoy Christine, it's okay.",That actress has exactly one blouse that is vanishing.,neutral,contradiction,neutral,possessed_definites_uniqueness
Did Homer's snake that embarrassed some legislature resemble the paintings?,Joel has exactly one snake that embarrassed some legislature.,neutral,contradiction,neutral,possessed_definites_uniqueness
Winston Churchill's story that wasn't annoying many doctors might embarrass Julia.,Stacy has exactly one story that wasn't annoying many doctors.,neutral,contradiction,neutral,possessed_definites_uniqueness
Does Curtis's coat that alarmed Claire aggravate Deborah?,Curtis's coat that alarmed Claire does aggravate Deborah.,neutral,neutral,neutral,possessed_definites_uniqueness
Carmen's ladder that had confused many libraries does look like prints.,Carmen has exactly one ladder that had confused many libraries.,entailment,neutral,neutral,possessed_definites_uniqueness
"If Brian's skateboard that wasn't disgusting Allison does shock Sheila, it's okay.",Brian's skateboard that wasn't disgusting Allison does shock Sheila.,neutral,entailment,neutral,possessed_definites_uniqueness
"If Diana's story that hadn't disgusted Jill did aggravate Mary, it's okay.",Diana has exactly one story that hadn't disgusted Jill.,entailment,neutral,neutral,possessed_definites_uniqueness
"If Craig's lake that isn't disappearing did melt, it's okay.",Homer has exactly one lake that isn't disappearing.,neutral,neutral,neutral,possessed_definites_uniqueness
"If the patient's blouse that should unfold did wrinkle, it's okay.",The patient has exactly one blouse that should unfold.,entailment,neutral,neutral,possessed_definites_uniqueness
Brian's popsicle that couldn't stun Karla doesn't fall.,Brian has exactly one popsicle that couldn't stun Karla.,entailment,neutral,neutral,possessed_definites_uniqueness
"If Craig's lake that isn't disappearing did melt, it's okay.",Craig's lake that isn't disappearing did melt.,neutral,neutral,contradiction,possessed_definites_uniqueness
Michelle's cafe that was falling does irritate Alan.,Michelle has exactly one cafe that was falling.,entailment,neutral,neutral,possessed_definites_uniqueness
Tiffany's chair that is scaring Samantha did waste away.,Tiffany doesn't have exactly one chair that is scaring Samantha.,contradiction,contradiction,neutral,possessed_definites_uniqueness
Vincent's photograph that would astound Walter might fall.,Vincent doesn't have exactly one photograph that would astound Walter.,contradiction,contradiction,neutral,possessed_definites_uniqueness
"If Winston Churchill's story that wasn't annoying many doctors does embarrass Julia, it's okay.",Stacy has exactly one story that wasn't annoying many doctors.,neutral,contradiction,neutral,possessed_definites_uniqueness
Diana's story that hadn't disgusted Jill didn't aggravate Mary.,Diana doesn't have exactly one story that hadn't disgusted Jill.,contradiction,contradiction,neutral,possessed_definites_uniqueness
Carlos's painting that hasn't disappeared doesn't waste away.,Carlos has exactly one painting that hasn't disappeared.,entailment,neutral,neutral,possessed_definites_uniqueness
Raymond's blouse that is vanishing might annoy Christine.,Raymond's blouse that is vanishing does annoy Christine.,neutral,contradiction,neutral,possessed_definites_uniqueness
"If Adam's sweater that wasn't wasting away did appear, it's okay.",That waiter has exactly one sweater that wasn't wasting away.,neutral,contradiction,neutral,possessed_definites_uniqueness
Vincent's photograph that would astound Walter does fall.,Leslie has exactly one photograph that would astound Walter.,neutral,contradiction,neutral,possessed_definites_uniqueness
"If these drivers' gate that bored Christopher does exist, it's okay.",These drivers have exactly one gate that bored Christopher.,entailment,neutral,neutral,possessed_definites_uniqueness
Did Gary realize why Kenneth does stun Jodi?,Kenneth does stun Jodi,entailment,entailment,neutral,question_presupposition
Samuel does forget about when those doctors bake.,Those doctors bake,entailment,entailment,entailment,question_presupposition
Senators might have been remembering when Carmen has ascertained Rachelle to escape from Monica.,Carmen hasn't ascertained Rachelle to escape from Monica.,contradiction,contradiction,contradiction,question_presupposition
"If Stacy had remembered where Noah anticipated Kirsten to kiss Kimberley, it's okay.",Noah anticipated Kirsten to kiss Kimberley,entailment,entailment,entailment,question_presupposition
Tina doesn't remember when Anne had bored Debra.,Anne had bored Debra,entailment,neutral,entailment,question_presupposition
Organizations realize when the skateboard accelerated.,The skateboard accelerated,entailment,entailment,entailment,question_presupposition
"If Samuel realized where Vincent has hurt those cashiers, it's okay.",Vincent hasn't hurt those cashiers.,contradiction,contradiction,contradiction,question_presupposition
Naomi has forgotten how that museum swayed Carrie to mutter.,That museum didn't sway Carrie to mutter.,contradiction,contradiction,contradiction,question_presupposition
Connie learned when bikes fall apart.,The glasses fall apart.,neutral,contradiction,neutral,question_presupposition
Samuel might have realized where Vincent has hurt those cashiers.,Many cats has hurt those cashiers.,neutral,contradiction,neutral,question_presupposition
Those libraries don't forget when Judy is asking the association to boast.,Danielle is asking the association to boast.,neutral,contradiction,neutral,question_presupposition
"If these patients forget about how the Impressionists approve, it's okay.",The Impressionists approve,entailment,entailment,entailment,question_presupposition
Sharon might reveal when Gina had encouraged Sonia's sons to divorce.,Sharon reveals when Gina had encouraged Sonia's sons to divorce.,neutral,neutral,neutral,question_presupposition
"If Naomi has forgotten how that museum swayed Carrie to mutter, it's okay.",This dancer swayed Carrie to mutter.,neutral,contradiction,contradiction,question_presupposition
Do committees remember when lakes vaporize?,Lakes vaporize,entailment,neutral,neutral,question_presupposition
Naomi has forgotten how that museum swayed Carrie to mutter.,That museum swayed Carrie to mutter,entailment,entailment,entailment,question_presupposition
Teachers conceal when Amy has come here.,The Borgias has come here.,neutral,contradiction,neutral,question_presupposition
Samuel might forget about when those doctors bake.,Those doctors bake,entailment,entailment,entailment,question_presupposition
Are the guys figuring out how women have figured out who won't chat?,Women haven't figured out who won't chat.,contradiction,contradiction,contradiction,question_presupposition
Gary might have realized why Kenneth does stun Jodi.,Mirrors does stun Jodi.,neutral,contradiction,neutral,question_presupposition
Museums might know when Donald neglects to hide that wheelbarrow.,Museums know when Donald neglects to hide that wheelbarrow.,neutral,entailment,neutral,question_presupposition
Does Monet find out why the glove shrank?,The glove shrank,entailment,entailment,neutral,question_presupposition
Sharon might reveal when Gina had encouraged Sonia's sons to divorce.,Actors had encouraged Sonia's sons to divorce.,neutral,contradiction,neutral,question_presupposition
The girl knows why that screen slipped.,Every cup slipped.,neutral,contradiction,neutral,question_presupposition
"If organizations realize when the skateboard accelerated, it's okay.",The skateboard accelerated,entailment,entailment,neutral,question_presupposition
April didn't forget where that hat did twirl.,April forgot where that hat did twirl.,contradiction,contradiction,contradiction,question_presupposition
"If the governments forget about why this legislature did forget about who prods Christina to worry Jerry, it's okay.",This legislature didn't forget about who prods Christina to worry Jerry.,contradiction,contradiction,contradiction,question_presupposition
"If those libraries forget when Judy is asking the association to boast, it's okay.",Judy is asking the association to boast,entailment,entailment,neutral,question_presupposition
The girl knows why that screen slipped.,That screen didn't slip.,contradiction,contradiction,contradiction,question_presupposition
"If Samuel does forget about when those doctors bake, it's okay.",The boys bake.,neutral,contradiction,neutral,question_presupposition
Did Bill wonder when Omar hunted?,The guy hunted.,neutral,entailment,entailment,question_presupposition
Rebecca might have investigated how these windows shut.,Gates shut.,neutral,contradiction,neutral,question_presupposition
Did the doctor wonder when these cashiers change?,The doctor does wonder when these cashiers change.,neutral,contradiction,neutral,question_presupposition
Committees remember when lakes vaporize.,Lakes vaporize,entailment,entailment,entailment,question_presupposition
"If museums know when Donald neglects to hide that wheelbarrow, it's okay.",Museums know when Donald neglects to hide that wheelbarrow.,neutral,entailment,neutral,question_presupposition
"If Gary realized why Kenneth does stun Jodi, it's okay.",Kenneth does stun Jodi,entailment,entailment,neutral,question_presupposition
"If the guys were figuring out how women have figured out who won't chat, it's okay.",This lady have figured out who won't chat.,neutral,entailment,neutral,question_presupposition
"If Mark has figured out where Monet sells sweaters, it's okay.",Monet sells sweaters,entailment,entailment,entailment,question_presupposition
Samuel didn't realize where Vincent has hurt those cashiers.,Vincent has hurt those cashiers,entailment,entailment,entailment,question_presupposition
"If the guys were figuring out how women have figured out who won't chat, it's okay.",The guys were figuring out how women have figured out who won't chat.,neutral,entailment,neutral,question_presupposition
The governments forget about why this legislature did forget about who prods Christina to worry Jerry.,This legislature did forget about who prods Christina to worry Jerry,entailment,entailment,entailment,question_presupposition
Sharon reveals when Gina had encouraged Sonia's sons to divorce.,Gina hadn't encouraged Sonia's sons to divorce.,contradiction,contradiction,contradiction,question_presupposition
Naomi might have forgotten how that museum swayed Carrie to mutter.,That museum didn't sway Carrie to mutter.,contradiction,contradiction,contradiction,question_presupposition
"If Rebecca has investigated how these windows shut, it's okay.",Gates shut.,neutral,contradiction,neutral,question_presupposition
Gary didn't realize why Kenneth does stun Jodi.,Kenneth doesn't stun Jodi.,contradiction,contradiction,contradiction,question_presupposition
Russell wasn't wondering when the dancers chat.,The dancers chat,entailment,entailment,neutral,question_presupposition
Samuel might forget about when those doctors bake.,Samuel does forget about when those doctors bake.,neutral,contradiction,neutral,question_presupposition
"If those actresses did figure out how men do fight, it's okay.",A lot of hospitals do fight.,neutral,contradiction,neutral,question_presupposition
Naomi has forgotten how that museum swayed Carrie to mutter.,This dancer swayed Carrie to mutter.,neutral,contradiction,neutral,question_presupposition
"If Lisa has learned how the students wear those socks, it's okay.",The students wear those socks,entailment,entailment,neutral,question_presupposition
