premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,section
Both women who hid away might have want to work hard.,There are dozens of women who hid away.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,238c,12,both_presupposition
Both women who hid away might have want to work hard.,There are exactly two patients who hid away,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,239n,12,both_presupposition
"If both women who hid away have want to work hard, it's okay.",There are exactly two women who hid away,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,240e,12,both_presupposition
"If both women who hid away have want to work hard, it's okay.",There are dozens of women who hid away.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,241c,12,both_presupposition
"If both women who hid away have want to work hard, it's okay.",There are exactly two patients who hid away,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,242n,12,both_presupposition
Both women who hid away haven't want to work hard.,Both women who hid away have want to work hard.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,243c,12,both_presupposition
Have both women who hid away want to work hard?,Both women who hid away have want to work hard.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,244n,12,both_presupposition
Both women who hid away might have want to work hard.,Both women who hid away have want to work hard.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,245n,12,both_presupposition
"If both women who hid away have want to work hard, it's okay.",Both women who hid away have want to work hard.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,246n,12,both_presupposition
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly two actors who noticed Tonya,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,247e,13,both_presupposition
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly three actors who noticed Tonya.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,248c,13,both_presupposition
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly two teachers who noticed Tonya,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,249n,13,both_presupposition
Both actors who noticed Tonya hadn't preferred Becca to come here.,There are exactly two actors who noticed Tonya,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,250e,13,both_presupposition
Both actors who noticed Tonya hadn't preferred Becca to come here.,There are exactly three actors who noticed Tonya.,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,251c,13,both_presupposition
Both actors who noticed Tonya hadn't preferred Becca to come here.,There are exactly two teachers who noticed Tonya,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,252n,13,both_presupposition
Had both actors who noticed Tonya preferred Becca to come here?,There are exactly two actors who noticed Tonya,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,253e,13,both_presupposition
Had both actors who noticed Tonya preferred Becca to come here?,There are exactly three actors who noticed Tonya.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,254c,13,both_presupposition
Had both actors who noticed Tonya preferred Becca to come here?,There are exactly two teachers who noticed Tonya,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,255n,13,both_presupposition
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly two actors who noticed Tonya,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,256e,13,both_presupposition
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly three actors who noticed Tonya.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,257c,13,both_presupposition
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly two teachers who noticed Tonya,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,258n,13,both_presupposition
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly two actors who noticed Tonya,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,259e,13,both_presupposition
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly three actors who noticed Tonya.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,260c,13,both_presupposition
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly two teachers who noticed Tonya,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,261n,13,both_presupposition
Both actors who noticed Tonya hadn't preferred Becca to come here.,Both actors who noticed Tonya had preferred Becca to come here.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,262c,13,both_presupposition
Had both actors who noticed Tonya preferred Becca to come here?,Both actors who noticed Tonya had preferred Becca to come here.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,263n,13,both_presupposition
Both actors who noticed Tonya might have preferred Becca to come here.,Both actors who noticed Tonya had preferred Becca to come here.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,264n,13,both_presupposition
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",Both actors who noticed Tonya had preferred Becca to come here.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,265n,13,both_presupposition
Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,There are exactly two actresses that can't forfeit,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,266e,14,both_presupposition
Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,There are exactly three actresses that can't forfeit.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,267c,14,both_presupposition
Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,268n,14,both_presupposition
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly two actresses that can't forfeit,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,269e,14,both_presupposition
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly three actresses that can't forfeit.,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,270c,14,both_presupposition
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,271n,14,both_presupposition
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,There are exactly two actresses that can't forfeit,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,272e,14,both_presupposition
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,There are exactly three actresses that can't forfeit.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,273c,14,both_presupposition
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,There are exactly two boys that can't forfeit,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,274n,14,both_presupposition
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,There are exactly two actresses that can't forfeit,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,275e,14,both_presupposition
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,There are exactly three actresses that can't forfeit.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,276c,14,both_presupposition
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,277n,14,both_presupposition
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly two actresses that can't forfeit,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,278e,14,both_presupposition
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly three actresses that can't forfeit.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,279c,14,both_presupposition
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly two boys that can't forfeit,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,280n,14,both_presupposition
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,281c,14,both_presupposition
Were both actresses that can't forfeit pressing the granddaughter of Randolf to come here?,Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,282n,14,both_presupposition
Both actresses that can't forfeit might have been pressing the granddaughter of Randolf to come here.,Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,283n,14,both_presupposition
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",Both actresses that can't forfeit were pressing the granddaughter of Randolf to come here.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,284n,14,both_presupposition
Both senators who break a bicycle scratched.,There are exactly two senators who break a bicycle,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,285e,15,both_presupposition
Both senators who break a bicycle scratched.,There are dozens of senators who break a bicycle.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,286c,15,both_presupposition
Both senators who break a bicycle scratched.,There are exactly two pedestrians who break a bicycle,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,287n,15,both_presupposition
Both senators who break a bicycle didn't scratch.,There are exactly two senators who break a bicycle,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,288e,15,both_presupposition
Both senators who break a bicycle didn't scratch.,There are dozens of senators who break a bicycle.,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,289c,15,both_presupposition
Both senators who break a bicycle didn't scratch.,There are exactly two pedestrians who break a bicycle,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,290n,15,both_presupposition
Did both senators who break a bicycle scratch.,There are exactly two senators who break a bicycle,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,291e,15,both_presupposition
Did both senators who break a bicycle scratch.,There are dozens of senators who break a bicycle.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,292c,15,both_presupposition
Did both senators who break a bicycle scratch.,There are exactly two pedestrians who break a bicycle,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,293n,15,both_presupposition
Both senators who break a bicycle might have scratched.,There are exactly two senators who break a bicycle,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,294e,15,both_presupposition
Both senators who break a bicycle might have scratched.,There are dozens of senators who break a bicycle.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,295c,15,both_presupposition
Both senators who break a bicycle might have scratched.,There are exactly two pedestrians who break a bicycle,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,296n,15,both_presupposition
"If both senators who break a bicycle scratched, it's okay.",There are exactly two senators who break a bicycle,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,297e,15,both_presupposition
"If both senators who break a bicycle scratched, it's okay.",There are dozens of senators who break a bicycle.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,298c,15,both_presupposition
"If both senators who break a bicycle scratched, it's okay.",There are exactly two pedestrians who break a bicycle,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,299n,15,both_presupposition
Both senators who break a bicycle didn't scratch.,Both senators who break a bicycle scratched.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,300c,15,both_presupposition
Did both senators who break a bicycle scratch.,Both senators who break a bicycle scratched.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,301n,15,both_presupposition
Both senators who break a bicycle might have scratched.,Both senators who break a bicycle scratched.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,302n,15,both_presupposition
"If both senators who break a bicycle scratched, it's okay.",Both senators who break a bicycle scratched.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,303n,15,both_presupposition
Both adults who manage to get a job bought this hill.,There are exactly two adults who manage to get a job,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,304e,16,both_presupposition
Both adults who manage to get a job bought this hill.,There are exactly three adults who manage to get a job.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,305c,16,both_presupposition
Both adults who manage to get a job bought this hill.,There are exactly two banks who manage to get a job,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,306n,16,both_presupposition
Both adults who manage to get a job didn't buy this hill.,There are exactly two adults who manage to get a job,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,307e,16,both_presupposition
Both adults who manage to get a job didn't buy this hill.,There are exactly three adults who manage to get a job.,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,308c,16,both_presupposition
Both adults who manage to get a job didn't buy this hill.,There are exactly two banks who manage to get a job,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,309n,16,both_presupposition
Did both adults who manage to get a job buy this hill.,There are exactly two adults who manage to get a job,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,310e,16,both_presupposition
Did both adults who manage to get a job buy this hill.,There are exactly three adults who manage to get a job.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,311c,16,both_presupposition
Did both adults who manage to get a job buy this hill.,There are exactly two banks who manage to get a job,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,312n,16,both_presupposition
Both adults who manage to get a job might have bought this hill.,There are exactly two adults who manage to get a job,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,313e,16,both_presupposition
Both adults who manage to get a job might have bought this hill.,There are exactly three adults who manage to get a job.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,314c,16,both_presupposition
Both adults who manage to get a job might have bought this hill.,There are exactly two banks who manage to get a job,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,315n,16,both_presupposition
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly two adults who manage to get a job,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,316e,16,both_presupposition
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly three adults who manage to get a job.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,317c,16,both_presupposition
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly two banks who manage to get a job,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,318n,16,both_presupposition
Both adults who manage to get a job didn't buy this hill.,Both adults who manage to get a job bought this hill.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,319c,16,both_presupposition
Did both adults who manage to get a job buy this hill.,Both adults who manage to get a job bought this hill.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,320n,16,both_presupposition
Both adults who manage to get a job might have bought this hill.,Both adults who manage to get a job bought this hill.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,321n,16,both_presupposition
"If both adults who manage to get a job bought this hill, it's okay.",Both adults who manage to get a job bought this hill.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,322n,16,both_presupposition
Both adults that were appearing do date.,There are exactly two adults that were appearing,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,323e,17,both_presupposition
Both adults that were appearing do date.,There are dozens of adults that were appearing.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,324c,17,both_presupposition
Both adults that were appearing do date.,There are exactly two girls that were appearing,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,325n,17,both_presupposition
Both adults that were appearing don't date.,There are exactly two adults that were appearing,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,326e,17,both_presupposition
Both adults that were appearing don't date.,There are dozens of adults that were appearing.,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,327c,17,both_presupposition
Both adults that were appearing don't date.,There are exactly two girls that were appearing,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,328n,17,both_presupposition
Do both adults that were appearing date?,There are exactly two adults that were appearing,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,329e,17,both_presupposition
Do both adults that were appearing date?,There are dozens of adults that were appearing.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,330c,17,both_presupposition
Do both adults that were appearing date?,There are exactly two girls that were appearing,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,331n,17,both_presupposition
Both adults that were appearing might date.,There are exactly two adults that were appearing,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,332e,17,both_presupposition
Both adults that were appearing might date.,There are dozens of adults that were appearing.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,333c,17,both_presupposition
Both adults that were appearing might date.,There are exactly two girls that were appearing,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,334n,17,both_presupposition
"If both adults that were appearing do date, it's okay.",There are exactly two adults that were appearing,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,335e,17,both_presupposition
"If both adults that were appearing do date, it's okay.",There are dozens of adults that were appearing.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,336c,17,both_presupposition
"If both adults that were appearing do date, it's okay.",There are exactly two girls that were appearing,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,337n,17,both_presupposition
Both adults that were appearing don't date.,Both adults that were appearing do date.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,338c,17,both_presupposition
Do both adults that were appearing date?,Both adults that were appearing do date.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,339n,17,both_presupposition
Both adults that were appearing might date.,Both adults that were appearing do date.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,340n,17,both_presupposition
"If both adults that were appearing do date, it's okay.",Both adults that were appearing do date.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,341n,17,both_presupposition
Both hospitals that have forfeited respect Edward.,There are exactly two hospitals that have forfeited,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,342e,18,both_presupposition
Both hospitals that have forfeited respect Edward.,There aren't exactly two hospitals that have forfeited,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,343c,18,both_presupposition
Both hospitals that have forfeited respect Edward.,There are exactly two teachers that have forfeited,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,344n,18,both_presupposition
Both hospitals that have forfeited don't respect Edward.,There are exactly two hospitals that have forfeited,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,345e,18,both_presupposition
Both hospitals that have forfeited don't respect Edward.,There aren't exactly two hospitals that have forfeited,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,346c,18,both_presupposition
Both hospitals that have forfeited don't respect Edward.,There are exactly two teachers that have forfeited,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,347n,18,both_presupposition
Do both hospitals that have forfeited respect Edward.,There are exactly two hospitals that have forfeited,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,348e,18,both_presupposition
Do both hospitals that have forfeited respect Edward.,There aren't exactly two hospitals that have forfeited,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,349c,18,both_presupposition
Do both hospitals that have forfeited respect Edward.,There are exactly two teachers that have forfeited,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,350n,18,both_presupposition
Both hospitals that have forfeited might respect Edward.,There are exactly two hospitals that have forfeited,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,351e,18,both_presupposition
Both hospitals that have forfeited might respect Edward.,There aren't exactly two hospitals that have forfeited,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,352c,18,both_presupposition
Both hospitals that have forfeited might respect Edward.,There are exactly two teachers that have forfeited,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,353n,18,both_presupposition
"If both hospitals that have forfeited respect Edward, it's okay.",There are exactly two hospitals that have forfeited,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,354e,18,both_presupposition
"If both hospitals that have forfeited respect Edward, it's okay.",There aren't exactly two hospitals that have forfeited,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,355c,18,both_presupposition
"If both hospitals that have forfeited respect Edward, it's okay.",There are exactly two teachers that have forfeited,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,356n,18,both_presupposition
Both hospitals that have forfeited don't respect Edward.,Both hospitals that have forfeited respect Edward.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,357c,18,both_presupposition
Do both hospitals that have forfeited respect Edward.,Both hospitals that have forfeited respect Edward.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,358n,18,both_presupposition
Both hospitals that have forfeited might respect Edward.,Both hospitals that have forfeited respect Edward.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,359n,18,both_presupposition
"If both hospitals that have forfeited respect Edward, it's okay.",Both hospitals that have forfeited respect Edward.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,360n,18,both_presupposition
Both sketches that annoy Alexander were scaring Amanda.,There are exactly two sketches that annoy Alexander,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,361e,19,both_presupposition
Both sketches that annoy Alexander were scaring Amanda.,There aren't exactly two sketches that annoy Alexander,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,362c,19,both_presupposition
Both sketches that annoy Alexander were scaring Amanda.,There are exactly two spotlights that annoy Alexander,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,363n,19,both_presupposition
Both sketches that annoy Alexander weren't scaring Amanda.,There are exactly two sketches that annoy Alexander,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,364e,19,both_presupposition
Both sketches that annoy Alexander weren't scaring Amanda.,There aren't exactly two sketches that annoy Alexander,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,365c,19,both_presupposition
Both sketches that annoy Alexander weren't scaring Amanda.,There are exactly two spotlights that annoy Alexander,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,366n,19,both_presupposition
Were both sketches that annoy Alexander scaring Amanda?,There are exactly two sketches that annoy Alexander,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,367e,19,both_presupposition
Were both sketches that annoy Alexander scaring Amanda?,There aren't exactly two sketches that annoy Alexander,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,368c,19,both_presupposition
Were both sketches that annoy Alexander scaring Amanda?,There are exactly two spotlights that annoy Alexander,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,369n,19,both_presupposition
Both sketches that annoy Alexander might have been scaring Amanda.,There are exactly two sketches that annoy Alexander,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,370e,19,both_presupposition
Both sketches that annoy Alexander might have been scaring Amanda.,There aren't exactly two sketches that annoy Alexander,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,371c,19,both_presupposition
Both sketches that annoy Alexander might have been scaring Amanda.,There are exactly two spotlights that annoy Alexander,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,372n,19,both_presupposition
"If both sketches that annoy Alexander were scaring Amanda, it's okay.",There are exactly two sketches that annoy Alexander,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,373e,19,both_presupposition
"If both sketches that annoy Alexander were scaring Amanda, it's okay.",There aren't exactly two sketches that annoy Alexander,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,374c,19,both_presupposition
"If both sketches that annoy Alexander were scaring Amanda, it's okay.",There are exactly two spotlights that annoy Alexander,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,375n,19,both_presupposition
Both sketches that annoy Alexander weren't scaring Amanda.,Both sketches that annoy Alexander were scaring Amanda.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,376c,19,both_presupposition
Were both sketches that annoy Alexander scaring Amanda?,Both sketches that annoy Alexander were scaring Amanda.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,377n,19,both_presupposition
Both sketches that annoy Alexander might have been scaring Amanda.,Both sketches that annoy Alexander were scaring Amanda.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,378n,19,both_presupposition
"If both sketches that annoy Alexander were scaring Amanda, it's okay.",Both sketches that annoy Alexander were scaring Amanda.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,379n,19,both_presupposition
Both cashiers that exited the school listen to Brenda.,There are exactly two cashiers that exited the school,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,380e,20,both_presupposition
Both cashiers that exited the school listen to Brenda.,There are exactly three cashiers that exited the school.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,381c,20,both_presupposition
Both cashiers that exited the school listen to Brenda.,There are exactly two boys that exited the school,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,382n,20,both_presupposition
Both cashiers that exited the school don't listen to Brenda.,There are exactly two cashiers that exited the school,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,383e,20,both_presupposition
Both cashiers that exited the school don't listen to Brenda.,There are exactly three cashiers that exited the school.,negated,Not_In_Example,Not_In_Example,negated,2,both_presupposition,384c,20,both_presupposition
Both cashiers that exited the school don't listen to Brenda.,There are exactly two boys that exited the school,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,385n,20,both_presupposition
Do both cashiers that exited the school listen to Brenda.,There are exactly two cashiers that exited the school,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,386e,20,both_presupposition
Do both cashiers that exited the school listen to Brenda.,There are exactly three cashiers that exited the school.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,387c,20,both_presupposition
Do both cashiers that exited the school listen to Brenda.,There are exactly two boys that exited the school,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,388n,20,both_presupposition
Both cashiers that exited the school might listen to Brenda.,There are exactly two cashiers that exited the school,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,389e,20,both_presupposition
Both cashiers that exited the school might listen to Brenda.,There are exactly three cashiers that exited the school.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,390c,20,both_presupposition
Both cashiers that exited the school might listen to Brenda.,There are exactly two boys that exited the school,modal,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,391n,20,both_presupposition
"If both cashiers that exited the school listen to Brenda, it's okay.",There are exactly two cashiers that exited the school,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,392e,20,both_presupposition
"If both cashiers that exited the school listen to Brenda, it's okay.",There are exactly three cashiers that exited the school.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,393c,20,both_presupposition
"If both cashiers that exited the school listen to Brenda, it's okay.",There are exactly two boys that exited the school,conditional,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,394n,20,both_presupposition
Both cashiers that exited the school don't listen to Brenda.,Both cashiers that exited the school listen to Brenda.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,395c,20,both_presupposition
Do both cashiers that exited the school listen to Brenda.,Both cashiers that exited the school listen to Brenda.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,both_presupposition,396n,20,both_presupposition
Both cashiers that exited the school might listen to Brenda.,Both cashiers that exited the school listen to Brenda.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,397n,20,both_presupposition
"If both cashiers that exited the school listen to Brenda, it's okay.",Both cashiers that exited the school listen to Brenda.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,398n,20,both_presupposition
Both adults that have found some mouths to shut have stood up.,There are exactly two adults that have found some mouths to shut,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,399e,21,both_presupposition
Both adults that have found some mouths to shut have stood up.,There are exactly three adults that have found some mouths to shut.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,400c,21,both_presupposition
Both adults that have found some mouths to shut have stood up.,There are exactly two cashiers that have found some mouths to shut,unembedded,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,401n,21,both_presupposition
